id_municipio,n_alunos,taxa_observada,taxa_prevista,sigla_uf,nome_regiao,rede,meta_alfabetizacao_2024,meta_alfabetizacao_2025,lag1_taxa_alfabetizacao,lag1_media_portugues,populacao,pib_per_capita,ivs,risco,gap_meta_2024,risco_nao_atingir_meta_2024,gap_meta_2025,risco_nao_atingir_meta_2025,rank_risco,cluster
4214151,11,0.7272727272727273,0.7061918060357684,SC,Sul,municipal,80.0,80.0,89.34,773.2014,3054,44062.54092992796,,0.29380819396423163,-9.380819396423163,True,-9.380819396423163,True,923,2
3158409,3,1.0,0.7062813829448992,MG,Sudeste,municipal,80.0,80.0,85.23,774.1518,3553,17211.652124964818,0.317,0.29371861705510083,-9.371861705510085,True,-9.371861705510085,True,924,2
3112109,8,0.375,0.7069524955948974,MG,Sudeste,municipal,63.44,66.6,60.15,752.2179,5144,25193.62363919129,0.283,0.29304750440510263,7.255249559489741,False,4.095249559489744,False,925,2
2202737,6,1.0,0.7069931537323401,PI,Nordeste,municipal,78.41,78.68,78.14,775.6476,4233,11818.80463028585,,0.29300684626765994,-7.710684626765996,True,-7.980684626766006,True,926,2
3148905,1,1.0,0.7071459251761133,MG,Sudeste,municipal,80.0,80.0,81.43,775.9123,4232,31618.620037807184,,0.2928540748238867,-9.285407482388663,True,-9.285407482388663,True,927,2
3140209,8,0.5,0.7078473370287044,MG,Sudeste,municipal,67.84,70.12,65.47,755.1194,3532,31431.200453001133,0.201,0.2921526629712956,2.944733702870437,False,0.6647337028704356,False,928,1
3111150,3,0.6666666666666666,0.7080987617314202,MG,Sudeste,municipal,80.0,80.0,84.73,778.3793,3802,13807.732772225145,0.395,0.29190123826857983,-9.190123826857985,True,-9.190123826857985,True,929,2
3101300,4,1.0,0.7084366849078061,MG,Sudeste,municipal,69.11,71.13,67.0,756.9583,2816,22670.454545454544,,0.2915633150921939,1.733668490780616,False,-0.2863315092193801,True,930,2
3103009,6,1.0,0.7086958690637973,MG,Sudeste,estadual,,,82.09,794.2119,9388,57035.683851725604,0.367,0.29130413093620267,,False,,False,931,2
3124203,34,0.5882352941176471,0.7087795771945326,MG,Sudeste,municipal,72.95,74.22,71.63,760.5556,24761,23052.340373975203,0.251,0.29122042280546745,-2.0720422805467535,True,-3.3420422805467496,True,932,2
3101631,8,0.625,0.709059127359083,MG,Sudeste,municipal,73.26,74.48,72.01,764.3029,7184,24633.073496659243,0.238,0.29094087264091695,-2.354087264091703,True,-3.574087264091702,True,933,2
3121209,11,0.2727272727272727,0.7093607811492577,MG,Sudeste,municipal,79.34,79.45,79.23,770.4471,8760,40598.17351598173,0.195,0.2906392188507423,-8.403921885074226,True,-8.513921885074225,True,934,2
3516002,13,0.6153846153846154,0.7097888424962735,SP,Sudeste,municipal,80.0,80.0,82.92,779.9017,13171,27460.633209323514,0.296,0.2902111575037265,-9.021115750372644,True,-9.021115750372644,True,935,2
3120607,5,0.6,0.7103487123399905,MG,Sudeste,municipal,80.0,80.0,81.48,775.112,5633,17875.37724125688,0.228,0.28965128766000947,-8.965128766000944,True,-8.965128766000944,True,936,2
5201108,544,0.6599264705882353,0.7105313698789288,GO,Centro-Oeste,municipal,73.43,74.61,72.21,757.0193,415847,49133.7174489656,,0.28946863012107116,-2.3768630121071226,True,-3.556863012107115,True,937,1
3138708,4,1.0,0.7107177656700914,MG,Sudeste,municipal,69.32,71.31,67.26,771.7453,5731,28988.658174838598,,0.2892822343299086,1.751776567009145,False,-0.23822343299086413,True,938,2
3515657,2,0.0,0.7111543470974178,SP,Sudeste,municipal,80.0,80.0,92.86,774.5463,1689,60766.133806986385,,0.28884565290258224,-8.884565290258223,True,-8.884565290258223,True,939,2
3127503,4,0.75,0.7112907049814825,MG,Sudeste,municipal,68.63,70.75,66.42,763.1686,5271,17615.25327262379,0.334,0.2887092950185175,2.4990704981482565,False,0.379070498148252,False,940,2
3149606,11,0.8181818181818182,0.7119359762118571,MG,Sudeste,municipal,66.77,69.27,64.18,759.2275,4258,24406.998590887742,0.234,0.2880640237881429,4.423597621185721,False,1.9235976211857206,False,941,2
3103702,7,0.8571428571428571,0.7128113991090484,MG,Sudeste,estadual,52.43,57.74,83.21,770.6577,8218,17446.702360671698,0.363,0.28718860089095155,18.85113991090484,False,13.541139910904839,False,942,2
3161056,9,0.3333333333333333,0.7128458060313575,MG,Sudeste,municipal,70.01,71.86,68.09,762.3193,3252,18175.89175891759,0.379,0.2871541939686425,1.274580603135746,False,-0.5754193968642483,True,943,2
5205208,13,0.7692307692307693,0.7133091462483053,GO,Centro-Oeste,municipal,70.26,72.06,68.4,760.4849,5318,23820.233170364798,,0.2866908537516947,1.0709146248305217,False,-0.7290853751694755,True,944,2
3528858,5,1.0,0.7133562177679376,SP,Sudeste,municipal,80.0,80.0,94.74,796.2238,3392,48219.92924528302,0.144,0.28664378223206244,-8.664378223206242,True,-8.664378223206242,True,945,2
3147808,3,0.6666666666666666,0.7135147643752976,MG,Sudeste,municipal,64.23,67.24,61.11,759.5724,2301,20671.447196870926,,0.2864852356247024,7.121476437529751,False,4.11147643752976,False,946,2
3123908,9,0.7777777777777778,0.7136328277080606,MG,Sudeste,municipal,80.0,80.0,83.15,780.4013,15120,27599.669312169313,0.257,0.2863671722919394,-8.636717229193948,True,-8.636717229193948,True,947,2
2514206,11,0.6363636363636364,0.7138584134965602,PB,Nordeste,municipal,80.0,80.0,85.74,792.8774,7270,12003.988995873453,0.396,0.2861415865034398,-8.614158650343981,True,-8.614158650343981,True,948,2
2101350,3,1.0,0.7140139460638443,MA,Nordeste,municipal,80.0,80.0,88.89,810.5072,5374,9701.898027540008,0.546,0.2859860539361557,-8.598605393615571,True,-8.598605393615571,True,949,2
2702009,15,0.6666666666666666,0.7140214483451872,AL,Nordeste,municipal,75.74,76.49,74.97,766.5515,11036,21238.220369699167,0.396,0.2859785516548128,-4.3378551654812725,True,-5.0878551654812725,True,950,2
3165305,11,0.7272727272727273,0.7143942934978769,MG,Sudeste,municipal,63.39,66.57,60.1,751.6821,6935,35809.08435472242,0.229,0.28560570650212314,8.049429349787687,False,4.869429349787694,False,951,1
3122702,5,1.0,0.7144137795846988,MG,Sudeste,municipal,68.96,71.02,66.83,760.429,5350,24079.6261682243,,0.28558622041530124,2.481377958469878,False,0.4213779584698756,False,952,2
2608701,19,0.9473684210526315,0.7146287973099155,PE,Nordeste,municipal,72.37,73.76,70.94,765.9971,14386,11735.784790768803,,0.28537120269008454,-0.907120269008459,True,-2.2971202690084596,True,953,2
3162609,11,0.8181818181818182,0.7150938943172035,MG,Sudeste,municipal,80.0,80.0,83.42,775.8265,7139,18193.16430872671,,0.2849061056827965,-8.49061056827965,True,-8.49061056827965,True,954,2
5207907,20,0.65,0.7152460071125288,GO,Centro-Oeste,municipal,68.9,70.97,66.75,752.5228,14156,20314.28369595931,0.307,0.28475399288747116,2.6246007112528815,False,0.5546007112528883,False,955,2
3168309,8,0.5,0.7165528431516309,MG,Sudeste,municipal,68.34,70.52,66.07,756.7531,4368,19391.712454212455,,0.2834471568483691,3.3152843151630833,False,1.1352843151630907,False,956,2
3118908,3,0.3333333333333333,0.716665945097446,MG,Sudeste,municipal,70.99,72.65,69.28,761.5464,7592,21619.072708113803,0.285,0.28333405490255403,0.6765945097446036,False,-0.9834054902554072,True,957,2
5211503,162,0.7469135802469136,0.7167521288881994,GO,Centro-Oeste,municipal,71.41,72.98,69.78,755.2827,112289,58379.50288986455,0.165,0.2832478711118006,0.26521288881994565,False,-1.3047871111800617,True,958,1
2608602,17,0.8235294117647058,0.7169675798573265,PE,Nordeste,municipal,73.78,74.9,72.63,765.0423,12364,12146.554513102556,,0.2830324201426735,-2.0832420142673556,True,-3.20324201426736,True,959,2
4111555,14,0.5714285714285714,0.7170948322001129,PR,Sul,municipal,80.0,80.0,84.34,769.38,6833,41040.538562856724,0.315,0.28290516779988706,-8.290516779988707,True,-8.290516779988707,True,960,2
4124806,21,0.7619047619047619,0.717309316458595,PR,Sul,municipal,80.0,80.0,87.03,772.9093,12230,99769.2559280458,0.206,0.28269068354140503,-8.2690683541405,True,-8.2690683541405,True,961,1
3153806,2,1.0,0.7176145093918479,MG,Sudeste,municipal,64.59,67.52,61.54,760.6688,1800,28427.222222222223,0.241,0.2823854906081521,7.17145093918478,False,4.241450939184787,False,962,2
3151909,15,0.8,0.7201887684851208,MG,Sudeste,estadual,,80.0,90.55,791.8022,8468,17946.85876239962,,0.2798112315148792,,False,-7.981123151487921,True,963,2
2205540,4,1.0,0.72075788349538,PI,Nordeste,municipal,80.0,80.0,81.92,791.6749,3029,15381.313965004952,0.373,0.27924211650462005,-7.924211650461999,True,-7.924211650461999,True,964,2
2610202,32,1.0,0.7215138938392498,PE,Nordeste,municipal,77.3,77.76,76.82,773.9755,23449,10232.632521642714,0.461,0.2784861061607502,-5.148610616075018,True,-5.608610616075026,True,965,2
3156601,9,0.3333333333333333,0.7219625370869378,MG,Sudeste,municipal,80.0,80.0,86.74,780.9577,10575,13164.444444444445,0.46,0.2780374629130622,-7.803746291306226,True,-7.803746291306226,True,966,2
